"date","value","u10","v10","d2m","t2m","blh","sp","ssrd","tcc","tp","rh2m","date_unix","day_julian","weekday","hour","set"
2020-06-11 10:00:00,19.2,-4.75756052426518,-3.34860979843658,286.241501422858,288.826427804846,910.554618491441,100409.307457455,1823042.41122793,0.919691016183147,0.0003389588773781,84.5994668866701,1591869600,163,"Thu",10,"training"
2020-06-11 11:00:00,20,-4.86115751664784,-3.19743817527773,286.06132399216,288.694537671204,1108.4825029144,100445.723016815,1882831.01408451,0.975388248787568,0.0010217622879438,84.3181637929123,1591873200,163,"Thu",11,"testing"
2020-06-11 12:00:00,14.6,-5.15040852508259,-3.10199600390748,286.764924878802,288.859674348229,991.99725261209,100414.547875689,1380043.34814521,0.893658282258998,0.0008476612829485,87.3510611142852,1591876800,163,"Thu",12,"testing"
2020-06-11 13:00:00,7.4,-4.95577952206665,-3.24790185209418,286.853409640762,290.226436093251,1151.25246522842,100394.816096828,2255696.24895854,0.973496068830596,0.0001400334590804,80.5298206938096,1591880400,163,"Thu",13,"testing"
2020-06-11 14:00:00,6.5,-5.00373159527348,-3.5370806609815,286.220382703236,290.091257839934,1084.43787704206,100338.829179574,1540564.33306884,0.756063228452404,0.0001622169773506,77.9388142447536,1591884000,163,"Thu",14,"training"
2020-06-11 15:00:00,4.2,-5.0532222376741,-4.15295692543271,285.717810641349,290.436510405838,1226.11786985036,100315.354244832,1823285.25689347,0.472571944253789,0.0001406936828384,73.7838054485867,1591887600,163,"Thu",15,"testing"
2020-06-11 16:00:00,5.2,-4.81346187163998,-4.60427772200419,285.118734050557,290.403629209085,1004.72041787189,100298.349622399,1614729.39932553,0.688829801916765,8.27260368825079e-05,71.0807920979334,1591891200,163,"Thu",16,"training"
2020-06-11 17:00:00,4.5,-4.60780645606846,-5.00776772924529,284.91262604007,289.250960589587,867.101774426187,100289.098680007,1102762.16722872,0.787131602584624,6.04104738607301e-05,75.4510679221385,1591894800,163,"Thu",17,"testing"
2020-06-11 18:00:00,5.3,-3.19463065156146,-4.94326198583644,284.798478023887,288.505288116561,757.660988505014,100256.800592116,688758.876611783,0.494026823443328,3.63123066922421e-06,78.5462477237196,1591898400,163,"Thu",18,"training"
2020-06-11 19:00:00,3.9,-2.35764901013325,-4.67909560806684,284.435449906843,287.683988891004,739.726357248966,100239.635548717,498999.273556834,1.00000184774399,7.9226850964887e-07,80.8475982022964,1591902000,163,"Thu",19,"training"
2020-06-11 20:00:00,2.7,-2.10686223154355,-4.15361514730423,284.41593514061,287.078244177492,694.296750219619,100258.030486191,84607.4298750248,1.00000184774399,3.8953201724405e-06,83.974148058416,1591905600,163,"Thu",20,"testing"
2020-06-11 21:00:00,3.1,-2.18225212203984,-3.72686796726946,284.515914901858,286.733356958219,622.80981320904,100252.576173335,777.106129736174,1.00000184774399,2.77293978377105e-06,86.449163882221,1591909200,163,"Thu",21,"training"
